Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/canonical.html-33,21,176,50,950,221.91,0.000%,.00411,0.00,0.00,302.0
/success.txt-35,21,160,24,915,259.09,0.000%,.00411,0.00,0.00,220.0
/success.txt-34,21,57,22,300,75.26,0.000%,.00411,0.00,0.00,220.0
/canonical.html-36,21,210,23,323,117.12,0.000%,.00411,0.00,0.00,302.0
/success.txt-37,21,34,22,63,9.83,0.000%,.00411,0.00,0.00,220.0
/success.txt-38,21,104,23,280,77.37,0.000%,.00411,0.00,0.00,220.0
/canonical.html-39,21,59,23,110,23.91,0.000%,.00411,0.00,0.00,302.0
/success.txt-41,21,36,23,70,16.18,0.000%,.00411,0.00,0.00,220.0
/success.txt-40,21,69,23,91,22.86,0.000%,.00411,0.00,0.00,220.0
/canonical.html-42,21,701,24,1050,473.32,0.000%,.00410,0.00,0.00,302.0
/success.txt-43,21,865,25,1098,317.36,0.000%,.00410,0.00,0.00,220.0
/success.txt-44,21,384,25,1389,342.39,0.000%,.00410,0.00,0.00,220.0
/canonical.html-45,21,654,24,1387,597.97,0.000%,.00410,0.00,0.00,302.0
/success.txt-46,21,824,25,977,325.05,0.000%,.00410,0.00,0.00,220.0
/success.txt-47,21,41,24,81,12.95,0.000%,.00410,0.00,0.00,220.0
/-48,21,878,109,1734,386.64,0.000%,.00410,0.00,0.00,799.0
/-50,21,295,27,2179,515.78,0.000%,.00410,0.00,0.00,799.0
/-51,21,471,25,2208,782.06,0.000%,.00410,0.00,0.00,799.0
/-49,21,135,28,577,127.52,0.000%,.00410,0.00,0.00,799.0
/canonical.html-52,21,82,25,1082,223.65,0.000%,.00410,0.00,0.00,302.0
/success.txt-53,21,186,24,1104,366.68,0.000%,.00410,0.00,0.00,220.0
/success.txt-54,21,673,34,1347,498.52,0.000%,.00410,0.00,0.00,220.0
/canonical.html-55,21,1045,27,3833,1013.41,0.000%,.00409,0.00,0.00,302.0
/success.txt-56,21,593,26,3895,1329.27,0.000%,.00409,0.00,0.00,220.0
/success.txt-57,21,2208,24,3859,1876.78,0.000%,.00409,0.00,0.00,220.0
/canonical.html-58,21,97,26,938,188.77,0.000%,.00409,0.00,0.00,302.0
/success.txt-59,21,478,22,3821,841.81,0.000%,.00409,0.00,0.00,220.0
/success.txt-60,21,496,24,936,395.69,0.000%,.00409,0.00,0.00,220.0
/canonical.html-61,21,179,29,811,212.17,0.000%,.00409,0.00,0.00,302.0
/success.txt-63,21,214,24,909,264.89,0.000%,.00409,0.00,0.00,220.0
/canonical.html-64,21,182,24,517,197.02,0.000%,.00409,0.00,0.00,302.0
/success.txt-62,21,81,23,294,87.44,0.000%,.00409,0.00,0.00,220.0
/success.txt-66,21,49,23,275,51.63,0.000%,.00409,0.00,0.00,220.0
/success.txt-65,21,35,23,61,10.10,0.000%,.00409,0.00,0.00,220.0
/canonical.html-67,21,84,26,1065,219.48,0.000%,.00409,0.00,0.00,302.0
/success.txt-69,21,81,24,1082,223.82,0.000%,.00409,0.00,0.00,220.0
/success.txt-68,21,37,22,61,10.33,0.000%,.00409,0.00,0.00,220.0
/canonical.html-70,21,215,23,3871,817.41,0.000%,.00409,0.00,0.00,302.0
/success.txt-71,21,36,22,56,10.60,0.000%,.00409,0.00,0.00,220.0
/success.txt-72,21,76,24,929,190.77,0.000%,.00409,0.00,0.00,220.0
/canonical.html-73,21,37,22,144,24.79,0.000%,.00409,0.00,0.00,302.0
/success.txt-75,21,35,25,45,5.85,0.000%,.00409,0.00,0.00,220.0
/success.txt-74,21,54,24,499,99.59,0.000%,.00409,0.00,0.00,220.0
/canonical.html-76,21,168,25,1470,418.92,0.000%,.00409,0.00,0.00,302.0
/success.txt-77,21,113,25,1455,302.07,0.000%,.00409,0.00,0.00,220.0
/success.txt-78,21,110,25,1458,302.88,0.000%,.00409,0.00,0.00,220.0
/canonical.html-79,21,518,23,1578,675.41,0.000%,.00409,0.00,0.00,302.0
/success.txt-80,21,475,24,1583,626.67,0.000%,.00409,0.00,0.00,220.0
/success.txt-81,21,177,28,1426,324.60,0.000%,.00409,0.00,0.00,220.0
/canonical.html-82,21,119,24,1430,294.84,0.000%,.00409,0.00,0.00,302.0
/success.txt-83,21,48,24,165,32.05,0.000%,.00409,0.00,0.00,220.0
/success.txt-84,21,126,22,1787,371.60,0.000%,.00409,0.00,0.00,220.0
/canonical.html-85,21,130,24,1766,366.04,0.000%,.00409,0.00,0.00,302.0
/success.txt-87,21,185,23,1137,341.51,0.000%,.00408,0.00,0.00,220.0
/success.txt-86,21,307,24,1828,491.23,0.000%,.00408,0.00,0.00,220.0
/canonical.html-88,21,272,22,1830,485.23,0.000%,.00408,0.00,0.00,302.0
/success.txt-89,21,648,26,1847,793.32,0.000%,.00408,0.00,0.00,220.0
/success.txt-90,21,480,24,1847,753.68,0.000%,.00408,0.00,0.00,220.0
TOTAL,1218,298,22,3895,611.99,0.000%,.23674,0.07,0.08,285.4
